ID_ViThuoc,TenViThuoc,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
27,Cửu Lý Hương,-0.004868144,-0.007252586,-0.014847614,0.02657376,-0.018028565,-0.009021882,-0.036672466,-0.00385217,-0.008714339,0.021800874,0.040135574,0.0299716,0.012613095,0.0333143,0.01448478,0.02448665
28,Duyên Hồ Sách,-0.5166991,0.12271357,0.2941043,0.26596296,1.2450342,0.5944067,1.124505,1.0669134,0.60903996,-0.7063178,-1.214758,-1.186927,-1.172266,-0.2760293,0.1757057,-0.030990843
29,Bồ công anh Việt Nam,-0.21794826,-0.013043073,0.20680606,0.15603574,0.67223495,0.39142013,0.80677545,0.73765486,0.30200195,-0.36546418,-0.7317881,-0.69888985,-0.72445285,-0.22590724,0.09052085,-0.12484905
30,Bồ công anh Trung Quốc,0.027482718,-0.025810268,0.012434058,-0.027253319,-0.022734929,-0.0018225424,-0.002525285,-0.018225774,-0.024006266,-0.02348675,0.03190666,-0.0026535578,-0.009904165,0.030068096,-0.0041120593,-0.024899583
31,Chỉ Thiên,-0.009110635,0.023565639,-0.010098461,-0.0137275085,-0.029873613,0.025341732,-0.0134317335,-0.014808934,0.020556131,0.051168293,0.031336877,0.026010469,0.056474343,-0.05207821,-0.0142107215,0.019834707
32,Kim Ngân,-0.42989445,0.068214305,0.3253688,0.27288225,1.0614436,0.55650663,1.1017632,1.0490822,0.5277248,-0.6828076,-1.0633578,-1.1262208,-1.1208223,-0.2785831,0.18573055,-0.06297004
33,Cây Ké Đầu Ngựa,-0.040581357,-0.024458583,-0.02274337,0.0018732622,0.023694182,0.019441564,-0.040010236,0.023720559,-0.0016133119,-0.0054005096,0.025729869,-0.008599829,0.023906521,0.027110953,0.031859577,0.029176366
34,Hạ Khô Thảo,-0.431784,0.044292677,0.28737152,0.27123085,1.0893698,0.58794606,1.0564811,1.0185845,0.53565043,-0.6507339,-1.0499022,-1.0962348,-1.0783944,-0.26557618,0.18706623,-0.044169392
35,Cây Xà Sàng,0.028474972,-0.03673616,-0.02716513,-0.017786836,-0.03661866,0.027565083,-0.020272346,-0.029479377,-0.010229712,0.0083256345,0.020653468,0.015157748,0.03758217,-0.008837,-0.002476334,0.0018955097
36,Bưởi Bung,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
37,Cây Mã Tiên Thảo,-0.27335718,0.006254138,0.21750483,0.09895695,0.813232,0.43114114,0.8000375,0.70830286,0.3661234,-0.4604112,-0.7910482,-0.76878715,-0.74108714,-0.20340058,0.09639314,-0.10797888
